show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in
s80,Movie,20 Feet From Stardom,Morgan Neville,"Darlene Love, Merry Clayton, Lisa Fischer, Táta Vega, Claudia Lennear, Judith Hill, Bruce Springsteen, Mick Jagger, Stevie Wonder, Sting, Bette Midler, Cissy Houston, Sheryl Crow, Tata Vega",United States,22-Sep-18,2013,PG-13,91 min,"Documentaries, Music & Musicals"
s4269,Movie,Mucize,Mahsun Kırmızıgül,"Talat Bulut, Mert Turak, Mahsun Kırmızıgül, Erdem Yener, Erol Demiröz, Ali Sürmeli, Meral Çetinkaya, Büşra Pekin",Turkey,10-Mar-17,2015,TV-14,136 min,"Dramas, International Movies"
s6284,Movie,The Decline,Patrice Laliberté,"Guillaume Laurin, Marie-Evelyne Lessard, Réal Bossé, Marc-André Grondin, Marc Beaupré, Marilyn Castonguay, Guillaume Cyr, Isabelle Giroux, Juliette Maxyme Proulx",Canada,27-Mar-20,2020,TV-MA,83 min,"Action & Adventure, International Movies"
s2134,Movie,Fatso,Rajat Kapoor,"Ranvir Shorey, Gul Panag, Purab Kohli, Neil Bhoopalam, Gunjan Bakshi, Saurabh Shukla, Atul Kumar, Brijendra Kala, Bharati Achrekar, Rahul Vohra",India,15-Feb-19,2012,TV-14,97 min,"Comedies, Dramas, International Movies"
s2825,Movie,Hot Sweet Sour,Andaç Haznedaroğlu,"Buğra Gülsoy, Özge Özpirinçci, Yusuf Akgün, Füsun Demirel, Gözde Türkpençe, Osman Alkaş, Rahmi Dilligil, Somer Karvan",Turkey,4-Jun-20,2017,TV-14,102 min,"Dramas, International Movies, Romantic Movies"
s2344,Movie,Game Over (Tamil Version),Ashwin Saravanan,"Taapsee Pannu, Vinodhini, Parvathi T, Ramya Subramanian, Sanchana Natarajan, Anish Kuruvilla, David Solomon Raja","India, Turkey",21-Aug-19,2019,TV-MA,98 min,"Horror Movies, International Movies, Thrillers"
s4413,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,"Yuri Lowenthal, Maile Flanagan, Sam Regal, Cam Clarke, Lex Lang, Kari Wahlgren, Crispin Freeman",Japan,1-Sep-17,2004,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies"
s3411,Movie,Kismat Konnection,Aziz Mirza,"Shahid Kapoor, Vidya Balan, Juhi Chawla, Om Puri, Vishal Malhotra, Karanvir Bohra, Amit Varma",India,1-Oct-18,2008,TV-PG,145 min,"Comedies, International Movies, Music & Musicals"
s5153,Movie,ReMastered: The Two Killings of Sam Cooke,Kelly Duane de la Vega,Sam Cooke,United States,8-Feb-19,2019,TV-MA,74 min,"Documentaries, Music & Musicals"
s1758,Movie,Dil Chahta Hai,Farhan Akhtar,"Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta, Sonali Kulkarni, Dimple Kapadia, Ayub Khan, Rajat Kapoor, Suhasini Mulay, Ahmed Khan",India,15-Dec-19,2001,TV-14,185 min,"Comedies, Dramas, International Movies"
s5086,Movie,Ralphie May: Imperfectly Yours,Anthony Pierce,Ralphie May,United States,29-Jun-15,2015,TV-MA,69 min,Stand-Up Comedy
s3694,Movie,Lock,Smeep Kang,"Gippy Grewal, Gurpreet Guggi, Smeep Kang, Geeta Basra, Karamjit Anmol, Harpal Singh, Vikram Grover, Priyanka Sharma",India,1-Oct-18,2016,TV-14,90 min,"Dramas, International Movies"
s608,Movie,At All Costs,Mike Nicoll,"Parker Jackson Cartwright, Gabe York",United States,14-Dec-16,2016,TV-MA,81 min,"Documentaries, Sports Movies"
s3226,Movie,Joy,Sudabeh Mortezai,"Anwulika Alphonsus, Mariam Precious Sanusi, Angela Ekeleme",Austria,24-May-19,2019,TV-MA,101 min,"Dramas, Independent Movies, International Movies"
s2152,Movie,Fida,Ken Ghosh,"Fardeen Khan, Kareena Kapoor, Shahid Kapoor, Kim Sharma, Akhilendra Mishra",India,13-Oct-20,2004,TV-14,117 min,"International Movies, Romantic Movies, Thrillers"
s6638,Movie,The Man Who Feels No Pain,Vasan Bala,"Abhimanyu Dassani, Radhika Madan, Gulshan Devaiah, Mahesh Manjrekar, Jimit Trivedi, Loveleen Mishra, Sartaaj Kakkar, Riva Arora",India,22-May-19,2018,TV-14,137 min,"Action & Adventure, Comedies, International Movies"
s2229,Movie,For the Love of Benji,Joe Camp,"Patsy Garrett, Cynthia Smith, Allen Fiuzat, Ed Nelson, Art Vasil, Peter Bowles, Bridget Armstrong, Mihalis Lambrinos, Dean Goss, Tony Alatis",United States,6-Mar-18,1977,G,84 min,Children & Family Movies
s2604,Movie,Hans Zimmer: Live in Prague,Tim Van Someren,Hans Zimmer,United Kingdom,1-Mar-18,2017,TV-G,138 min,"International Movies, Music & Musicals"
s742,Movie,Barbie Princess Adventure,Conrad Helten,"America Young, Erica Lindbeck, Ritesh Rajan, Dave Fennoy, Stephanie Sheh, Cristina Milizia, Desirae Whitfield, Emma Galvin, Angelo Restaino, Eamon Brennan, Ogie Banks",United States,1-Sep-20,2020,TV-Y,72 min,"Children & Family Movies, Music & Musicals"
s403,Movie,All About Love,Adze Ugah,"Chris Attoh, Katlego Danke, Enyinna Nwigwe, Nomzamo Mbatha, Richard Lukunku, Zenande Mfenyane, Leroy Gopal, Angela Sithole",South Africa,6-Mar-20,2017,TV-MA,79 min,"Dramas, International Movies, Romantic Movies"
s5480,Movie,Security,Alain Desrochers,"Antonio Banderas, Ben Kingsley, Liam McIntyre, Cung Le, Katherine de la Rocha, Chad Lindberg, Jiro Wang, Gabriella Wright, Shari Watson, John Strong",United States,3-Oct-17,2017,R,92 min,Action & Adventure
s2543,Movie,Grizzlies,Miranda de Pencier,"Ben Schnetzer, Emerald MacDonald, Booboo Stewart, Will Sasso, Paul Nutarariaq, Ricky Marty-Pahtaykan, Tantoo Cardinal, Eric Schweig",Canada,15-Dec-20,2018,R,106 min,"Dramas, Independent Movies, Sports Movies"
s7001,Movie,The Willoughbys,Kris Pearn,"Will Forte, Maya Rudolph, Ricky Gervais, Alessia Cara, Terry Crews, Jane Krakowski, Martin Short, Seán Cullen","Canada, United States, United Kingdom",22-Apr-20,2020,PG,92 min,"Children & Family Movies, Comedies"
s1482,Movie,Concussion,Stacie Passon,"Robin Weigert, Maggie Siff, Johnathan Tchaikovsky, Ben Shenkman, Janel Moloney, Emily Kinney",United States,2-Aug-18,2013,R,96 min,"Dramas, Independent Movies, LGBTQ Movies"
s1345,Movie,Chitty Chitty Bang Bang,Ken Hughes,"Dick Van Dyke, Sally Ann Howes, Lionel Jeffries, Gert Fröbe, Anna Quayle, Benny Hill, James Robertson Justice, Robert Helpmann, Heather Ripley, Adrian Hall, Barbara Windsor, Davy Kaye, Alexander Doré, Bernard Spear, Stanley Unwin","United Kingdom, United States",1-Jan-20,1968,G,146 min,"Children & Family Movies, Classic Movies, Comedies"
s48,Movie,1 Mile to You,Leif Tilden,"Billy Crudup, Graham Rogers, Liana Liberato, Stefanie Scott, Tim Roth, Melanie Lynskey, Thomas Cocquerel, Peter Coyote",United States,7-Jul-17,2017,TV-14,105 min,"Dramas, Romantic Movies, Sports Movies"
s2582,Movie,Hakkunde,Oluseyi Asurf,"Frank Donga, Rahama Sadau, Ali Nuhu, Toyin Aimakhu, Tunbosun Aiyedehin, Maryam Booth, Ahaji Issa Bello, Adebukola, Bukky Ajayi, Ibrahim Daddy, Seyilaw, Tomiwa Kukoyi",Nigeria,31-Jan-20,2017,TV-14,93 min,"Comedies, Dramas, Independent Movies"
s3658,Movie,Little Boxes,Rob Meyer,"Melanie Lynskey, Nelsan Ellis, Armani Jackson, Oona Laurence, Janeane Garofalo, Christine Taylor, Nadia Dajani, Veanne Cox, Will Janowitz, Julie Hays",United States,1-Jun-17,2016,TV-MA,89 min,"Comedies, Dramas, Independent Movies"
s5771,Movie,Spring Breakers,Harmony Korine,"James Franco, Vanessa Hudgens, Selena Gomez, Ashley Benson, Rachel Korine, Jeff Jarrett, Gucci Mane, Heather Morris, Ash Lendzion, Emma Holzer","United States, France",10-Jan-21,2012,R,94 min,"Comedies, Cult Movies, Dramas"
s5714,Movie,Sommore: Chandelier Status,Kevin Layne,Sommore,United States,4-Jul-18,2013,TV-MA,77 min,Stand-Up Comedy
s5519,Movie,Seventeen,Daniel Sánchez Arévalo,"Biel Montoro, Nacho Sánchez, Lola Cordón, Itsaso Arana, Chani Martín, Iñigo Aranburu, Kandido Uranga, Javier Cifrián, Mamen Duch, Carolina Clemente, Jorge Cabrera, Daniel Fuster, Edgar Costas, Patxi Santamaría",Spain,18-Oct-19,2019,TV-MA,100 min,"Comedies, Dramas, International Movies"
s507,Movie,Andaleeb El Dokki,Wael Ehsan,"Mohamed Henedi, Heba Nour, Dawood Hussain, Amr Abdel-Geleel, Mohammed El Sadaany, Mohamed Sherif Hassan",Egypt,2-Jun-20,2008,TV-14,106 min,"Comedies, International Movies"
s1365,Movie,Christmas Crush,Marita Grabiak,"Rachel Boston, Jonathan Bennett, Jon Prescott, Sunny Mabrey, Julia Voth, Elizabeth Lauren Hoffman, Eileen April Boylan, Josh Crotty","Canada, United States",4-Nov-19,2012,TV-PG,87 min,"Comedies, Romantic Movies"
s595,Movie,Asees,Rana Ranbir,"Rana Ranbir, Neha Pawar, Kuljinder Sidhu, Rupinder Roopi, Sardar Sohi, Pardeep Sran, Seema Kaushal, Rajvir Boparai",India,1-Nov-18,2018,TV-14,123 min,"Dramas, International Movies, Music & Musicals"
s7156,Movie,Tope: The Bait,Buddhadev Dasgupta,"Sudipto Chattopadhyay, Chandan Roy Sanyal, Kajal Kumari, Ananya Chatterjee, Paoli Dam, Malobika Banerjee, Pawan Kanodia",India,1-Mar-18,2016,TV-14,87 min,"Dramas, Independent Movies, International Movies"
s889,Movie,Bhavesh Joshi Superhero,Vikramaditya Motwane,"Harshvardhan Kapoor, Priyanshu Painyuli, Ashish Verma, Shreiya Sabharwal, Pratap Phad, Chinmayee Mandlekar, Nishikant Kamat, Hrishikesh Joshi",India,16-Aug-18,2018,TV-14,150 min,"Dramas, International Movies, Sci-Fi & Fantasy"
s511,Movie,Andhakaaram,V Vignarajan,"Vinoth Kishan, Arjun Das, Pooja Ramachandran, Kumar Natarajan, Misha Ghoshal, Arul Vincent, Chenthu Mohan, Pradeep Kalipurayath",India,24-Nov-20,2020,TV-14,171 min,"Horror Movies, International Movies, Thrillers"
s1032,Movie,Bomb Scared,Borja Cobeaga,"Javier Cámara, Julián López, Miren Ibarguren, Gorka Otxoa, Tina Sáinz, Ramón Barea",Spain,12-Oct-17,2017,TV-MA,89 min,"Comedies, Independent Movies, International Movies"
s508,Movie,Andaz Apna Apna,Rajkumar Santoshi,"Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor, Paresh Rawal, Mehmood, Deven Verma, Jagdeep, Shakti Kapoor",India,11-May-20,1994,TV-14,160 min,"Action & Adventure, Comedies, Cult Movies"
s3137,Movie,Jeff Dunham: Controlled Chaos,"Michael Simon, Matthew McNeil",Jeff Dunham,United States,15-Mar-19,2011,TV-MA,97 min,Stand-Up Comedy
s527,Movie,Ani... Dr. Kashinath Ghanekar,Abhijeet Deshpande,"Subodh Bhave, Vaidehi Parshurami, Nandita Patkar, Sonali Kulkarni, Sumeet Raghvan, Prasad Oak, Anand Ingale, Suhas Palshikar",India,10-Sep-20,2018,TV-14,157 min,"Dramas, International Movies"
s5364,Movie,Samarppanam,K. Gopinathan,"Virginia Rodriguez, Anil Nedumangad, Santhosh Keezhattoor, Indrans, P. Balachandran, Renji Panicker, Gopalan",India,1-Mar-18,2017,TV-PG,116 min,"Dramas, International Movies"
s3319,Movie,Katherine Ryan: Glitter Room,Linda Mendoza,Katherine Ryan,United States,1-Jul-19,2019,TV-MA,66 min,Stand-Up Comedy
s5236,Movie,Robin Hood: The Rebellion,Nicholas Winter,"Ben Freeman, James Oliver Wheatley, Marie Everett, Jamie Kenna, James Groom, James G. Nunn, Martyn Ford, Gareth David-Lloyd, Brian Blessed, Kristian Nairn",United Kingdom,1-May-19,2018,TV-14,92 min,"Action & Adventure, Independent Movies, International Movies"
s40,Movie,"¡Ay, mi madre!",Frank Ariza,"Estefanía de los Santos, Secun de la Rosa, Terele Pávez, María Alfonsa Rosso, Mariola Fuentes, Alfonso Sánchez, Paz Vega, Marta Torné, Concha Galán",Spain,19-Jul-19,2019,TV-MA,81 min,"Comedies, International Movies"
s1875,Movie,Dries,Reiner Holzemer,Dries Van Noten,"Germany, Belgium",1-Jan-18,2017,TV-PG,89 min,"Documentaries, International Movies"
s6673,TV Show,The Minions of Midas,Mateo Gil,"Luis Tosar, Marta Belmonte, Guillermo Toledo, Carlos Blanco, Marta Milans, Goize Blanco, Elena Irureta, Bea Segura, Jorge Andreu, Daniel Holguín, Adolfo Fernández, Fernando Barona, Juan Blanco, Ahmed Boulane, Pepe Ocio, Vito Sanz, Adelfa Calvo, Joaquín Climent, Carmelo Gómez, Miguel Ángel Solá",Spain,13-Nov-20,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
s1580,Movie,Daddy Issues,Amara Cash,"Madison Lawlor, Montana Manning, Andrew Pifko, Monte Markham, Kamala Jones, Jodi Carol Harrison, Seth Cassell, Ronnie Clark, Lissa Danshaw, J.J. Hawkins",United States,20-Sep-19,2019,TV-MA,82 min,"Dramas, Independent Movies, LGBTQ Movies"
s310,Movie,Addicted to Life,Thierry Donard,"Antoine Bizet, Jesse Richman, Karsten Gefle, Wille Lindberg, Matahi Drollet, Mathias Wyss, Matt Annetts",France,12-Jun-20,2014,TV-14,91 min,"Action & Adventure, Documentaries, International Movies"
s7402,Movie,Velvet Buzzsaw,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Zawe Ashton, Toni Collette, John Malkovich, Natalia Dyer, Daveed Diggs, Tom Sturridge",United States,1-Feb-19,2019,R,113 min,"Dramas, Thrillers"
s5207,Movie,Right Here Right Now,Jakob Lass,"Niklas Bruhn, David Schütter, Tinka Furst, Corinna Harfouch, Bela B. Felsenheimer, Martina Schöne-Radunski, Mathias Bloech, Tanna Barthel, Felix Maria Zeppenfeld, Kalle Schwensen",Germany,16-Jun-19,2018,TV-MA,91 min,"Comedies, Dramas, Independent Movies"
s653,Movie,B.A. Pass,Ajay Bahl,"Shadab Kamal, Shilpa Shukla, Rajesh Sharma, Dibyendu Bhattacharya, Vijay Kaushik, Anula Navlekar, Happy Ranjit, Raveena Singh, Padam Mishra",India,7-Jun-18,2013,TV-14,99 min,"Dramas, Independent Movies, International Movies"
s4232,Movie,Moshe Kasher: Live in Oakland,Jay Chapman,Moshe Kasher,United States,1-Jan-19,2012,TV-MA,61 min,Stand-Up Comedy
s3867,Movie,Mahi NRI,Gaurav Bavdankar,"Harrdy Sandhu, Poppy Jabbal, Rameet Kaur, B.N. Sharma, Navneet Nishan, Gurpreet Guggi, Anjum Batra, Ranjan Sehgal",United Kingdom,1-Dec-19,2017,TV-14,134 min,"Comedies, Dramas, International Movies"
s1649,Movie,De Film van Dylan Haegens,"Dylan Haegens, Bas van Teylingen","Dylan Haegens, Nick Golterman, Marit Brugman, Ilse Warringa, Teun Peters, Patrick Stoof, Rick Vermeulen, Rico Verhoeven",Netherlands,17-Apr-19,2018,TV-PG,81 min,"Comedies, International Movies"
s1154,Movie,BuyBust,Erik Matti,"Anne Curtis, Brandon Vera, Victor Neri, Arjo Atayde, Levi Ignacio, Alex Calleja, Lao Rodriguez, Joross Gamboa, Ricky Pascua, Nonie Buencamino",Philippines,13-Nov-18,2018,TV-MA,128 min,"Action & Adventure, International Movies"
s588,Movie,Arthur,Jason Winer,"Russell Brand, Helen Mirren, Greta Gerwig, Jennifer Garner, Geraldine James, Luis Guzmán, Nick Nolte, Christina Jacquelyn Calph, Murphy Guyer, José Ramón Rosario",United States,1-Apr-19,2011,PG-13,110 min,"Comedies, Romantic Movies"
s227,Movie,A Serious Man,"Ethan Coen, Joel Coen","Michael Stuhlbarg, Richard Kind, Fred Melamed, Sari Lennick, Adam Arkin, Amy Landecker, Alan Mandell, Fyvush Finkel, Peter Breitmayer, Aaron Wolff, Jessica McManus, Brent Braunschweig","United States, United Kingdom, France",16-Jan-18,2009,R,106 min,"Comedies, Independent Movies"
s5833,Movie,Strange Voices,Arthur Allan Seidelman,"Nancy McKeon, Valerie Harper, Stephen Macht, Tricia Leigh Fisher, Millie Perkins",United States,1-Oct-11,1987,TV-PG,96 min,Dramas
s7783,Movie,Zozo,Josef Fares,"Imad Creidi, Antoinette Turk, Elias Gergi, Carmen Lebbos, Viktor Axelsson, Charbel Iskandar, Yasmine Awad","Sweden, Czech Republic, United Kingdom, Denmark, Netherlands",19-Oct-20,2005,TV-MA,99 min,"Dramas, International Movies"
s5869,Movie,Suckseed,Chayanop Boonprakob,"Jirayu La-ongmanee, Pachara Chirathivat, Nattasha Nauljam, Thawat Pornrattanaprasert",Thailand,5-Sep-18,2011,TV-MA,130 min,"Comedies, International Movies, Music & Musicals"
s4250,Movie,Mr. Church,Bruce Beresford,"Eddie Murphy, Britt Robertson, Natascha McElhone, Xavier Samuel, Lucy Fry, Christian Madsen, Natalie Coughlin, Madison Wolfe, Thom Barry, Mckenna Grace",United States,22-Dec-18,2016,PG-13,105 min,Dramas
s692,Movie,Bad Genius,Nattawut Poonpiriya,"Chutimon Chuengcharoensukying, Chanon Santinatornkul, Teeradon Supapunpinyo, Eisaya Hosuwan, Thaneth Warakulnukroh, Sarinrat Thomas, Ego Mikitas, Pasin Kuansataporn, Sahajak Boonthanakit, Kanjana Vinaipanid",Thailand,1-Jun-18,2017,TV-MA,130 min,"Dramas, International Movies, Thrillers"
s3548,Movie,Lavell Crawford: Can a Brother Get Some Love?,Michael Drumm,Lavell Crawford,United States,2-Aug-16,2011,TV-MA,81 min,Stand-Up Comedy
s3166,Movie,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",Chris Smith,Jim Carrey,"Canada, United States",17-Nov-17,2017,TV-MA,94 min,Documentaries
s5269,Movie,Romeo Ranjha,Navaniat Singh,"Jazzy B, Garry Sandhu, Monica Bedi, Parul Gulati, Rana Ranbir, Yograj Singh, Rana Jung Bahadur, Sanga Jagir","India, Canada",1-Nov-17,2014,TV-14,122 min,"Action & Adventure, Comedies, Music & Musicals"
s2282,Movie,French Toast,"Paul Krüger, Anél Stolp","Lika Berning, Thierry Ballarin, Deon Lotz, Heléne Lombard, Paul du Toit, Roberta Fox, Trudi Conradie, Rod Alexander, Lochner De Kock, Tony Caprari",South Africa,12-Feb-20,2015,TV-PG,86 min,"Comedies, International Movies, Romantic Movies"
s6426,Movie,The Green Hornet,Michel Gondry,"Seth Rogen, Jay Chou, Cameron Diaz, Tom Wilkinson, Christoph Waltz, David Harbour, Edward James Olmos, Jamie Harris, Chad L. Coleman, Edward Furlong",United States,18-Apr-20,2011,PG-13,119 min,"Action & Adventure, Comedies"
s4228,Movie,Morris from America,Chad Hartigan,"Markees Christmas, Craig Robinson, Lina Keller, Carla Juri, Jakub Gierszal, Levin Henning, Eva Loebau","Germany, United States",1-Nov-18,2016,R,91 min,"Dramas, Independent Movies, International Movies"
s4802,Movie,Paulettante Veedu,Dileep Narayanan,"Saikumar, Amal Unnithan, Manasa Radhakrishnan, K.P.A.C. Lalitha, Sudheer Karamana, Seema G. Nair",India,1-Jul-18,2016,TV-14,104 min,"Dramas, International Movies"
s1516,Movie,Cracked Up: The Darrell Hammond Story,Michelle Esrick,Darrell Hammond,United States,1-May-20,2018,TV-MA,97 min,Documentaries
s5850,Movie,Striptease,Andrew Bergman,"Demi Moore, Burt Reynolds, Armand Assante, Ving Rhames, Robert Patrick, Paul Guilfoyle, Jerry Grayson, Rumer Willis, Robert Stanton, William Hill",United States,1-Jan-21,1996,R,117 min,"Comedies, Dramas"
s2960,Movie,In a Valley of Violence,Ti West,"Ethan Hawke, John Travolta, Taissa Farmiga, James Ransone, Karen Gillan, Toby Huss, Tommy Nohilly, Larry Fessenden, Michael Davis, Burn Gorman",United States,16-Oct-20,2016,R,104 min,Action & Adventure
s916,Movie,Bill Burr: Let It Go,Shannon Hartman,Bill Burr,United States,10-Nov-17,2010,NR,65 min,Stand-Up Comedy
s5891,Movie,Super Deluxe,Thiagarajan Kumararaja,"Vijay Sethupathi, Fahadh Faasil, Samantha Ruth Prabhu, Ramya Krishnan, Mysskin, Gayathrie, Ashwanth Ashok Kumar, Bagavathi Perumal",India,29-Jun-19,2019,TV-MA,176 min,"Comedies, Dramas, International Movies"
s1503,Movie,Coraline,Henry Selick,"Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders, Dawn French, Keith David, Robert Bailey Jr., Ian McShane",United States,16-Mar-17,2009,PG,101 min,Children & Family Movies
s4214,Movie,Monty Python: Live at The Hollywood Bowl,"Terry Hughes, Ian MacNaughton","Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Neil Innes, Carol Cleveland",United Kingdom,2-Oct-18,1982,R,80 min,Comedies
s3461,Movie,Kuch Kuch Hota Hai,Karan Johar,"Shah Rukh Khan, Kajol, Rani Mukerji, Farida Jalal, Reema Lagoo, Salman Khan, Archana Puran Singh, Himani Shivpuri, Johny Lever, Anupam Kher, Sana Saeed",India,1-Apr-20,1998,TV-14,185 min,"Comedies, Dramas, International Movies"
s5175,Movie,Retablo,Álvaro Delgado-Aparicio L.,"Junior Béjar Roca, Amiel Cayo, Magaly Solier, Hermelinda Luján, Mauro Chuchón, Claudia Solís, Coco Chiarella","Peru, Germany, Norway",30-Jul-20,2017,TV-MA,102 min,"Dramas, International Movies"
s1832,Movie,Dostana,Tarun Mansukhani,"Abhishek Bachchan, John Abraham, Priyanka Chopra, Bobby Deol, Kiron Kher, Sushmita Mukherjee, Shrey Bawa, Boman Irani","India, United States",1-Apr-20,2008,TV-14,142 min,"Comedies, Dramas, International Movies"
s4405,TV Show,Naruto,Hayato Date,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Kazuhiko Inoue, Toshihiko Seki, Hidekatsu Shibata, Masako Katsuki, Nana Mizuki",Japan,1-Sep-19,2006,TV-14,9 Seasons,"Anime Series, International TV Shows"
s5583,Movie,Shorts,Robert Rodriguez,"Jimmy Bennett, Jake Short, Kat Dennings, Trevor Gagnon, Devon Gearhart, Jolie Vanier, Rebel Rodriguez, Leo Howard, Leslie Mann, Jon Cryer, William H. Macy, James Spader","United States, United Arab Emirates",1-Jul-19,2009,PG,89 min,"Children & Family Movies, Comedies"
s2249,Movie,Four Christmases,Seth Gordon,"Vince Vaughn, Reese Witherspoon, Robert Duvall, Sissy Spacek, Jon Voight, Jon Favreau, Mary Steenburgen, Dwight Yoakam, Tim McGraw, Kristin Chenoweth","Germany, United States",1-Jan-21,2008,PG-13,88 min,"Comedies, Romantic Movies"
s942,TV Show,Bitter Daisies,Miguel Conde,"María Mera, Toni Salgado, Miquel Insua, Denis Gómez, Lucía Álvarez, Sara Sanz, Jimmy Núñez, Paloma Saavedra, Manuel Cortés, Yelena Molina, Ricardo de Barreiro, Nerea Barros, Santiago Cuquejo, Martina Stetson, Carlos Villarino",Spain,29-Mar-19,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
s3635,Movie,Lifechanger,Justin McConnell,"Lora Burke, Jack Foley, Bill Oberst Jr., Elitsa Bako, Sam James White, Rachel Vanduzer, Steve Kasan",Canada,28-May-19,2018,TV-MA,84 min,"Horror Movies, Independent Movies, Thrillers"
s4166,Movie,Mojave,William Monahan,"Garrett Hedlund, Oscar Isaac, Louise Bourgoin, Walton Goggins, Mark Wahlberg, Fran Kranz",United States,26-Jul-18,2015,R,93 min,"Dramas, Independent Movies, Thrillers"
s6072,Movie,The African Doctor,Julien Rambaldi,"Marc Zinga, Aïssa Maïga, Bayron Lebli, Médina Diarra, Rufus, Jonathan Lambert, Jean-Benoît Ugeux",France,28-Oct-16,2016,TV-14,94 min,"Comedies, Dramas, International Movies"
s6929,Movie,The Tiger Hunter,Lena Khan,"Danny Pudi, Jon Heder, Rizwan Manji, Karen David, Iqbal Theba, Sam Page, Kevin Pollak, Parvesh Cheena, Michael McMillian",United States,9-Apr-18,2016,TV-14,94 min,"Comedies, Dramas, Independent Movies"
s6617,Movie,The Lord of the Rings: The Return of the King,Peter Jackson,"Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Billy Boyd, Dominic Monaghan, Orlando Bloom, Hugo Weaving","New Zealand, United States",1-Jan-20,2003,PG-13,201 min,"Action & Adventure, Sci-Fi & Fantasy"
s3577,Movie,LEGENDS OF THE HIDDEN TEMPLE,Joe Menendez,"Isabela Moner, Jet Jurgensmeyer, Colin Critchley, Kirk Fogg, Dee Bradley Baker",United States,2-Nov-19,2016,TV-PG,68 min,Children & Family Movies
s1235,Movie,Casino Royale,Martin Campbell,"Daniel Craig, Judi Dench, Eva Green, Jeffrey Wright, Mads Mikkelsen, Giancarlo Giannini","United Kingdom, Czech Republic, United States, Germany, Bahamas",31-Aug-20,2006,PG-13,145 min,Action & Adventure
s5241,Movie,Rocco,"Thierry Demaizière, Alban Teurlai",Rocco Siffredi,France,1-Sep-17,2016,TV-MA,103 min,"Documentaries, International Movies"
s4285,Movie,Muqaddar ka Faisla,Prakash Mehra,"Raaj Kumar, Rakhee Gulzar, Raj Babbar, Tina Munim, Pran, Ranjeet, Meenakshi Sheshadri, Akbar Khan",India,1-Apr-20,1987,TV-14,172 min,"Action & Adventure, Comedies, Dramas"
s2547,Movie,Guatemala: Heart of the Mayan World,"Luis Ara, Ignacio Jaunsolo",Christian Morales,"Uruguay, Guatemala",30-Nov-19,2019,TV-G,67 min,"Documentaries, International Movies"
s6847,Movie,The Saint,Ernie Barbarash,"Adam Rayner, Eliza Dushku, Ian Ogilvy, James Remar, Roger Moore, Enrique Murciano, Thomas Kretschmann, Beatrice Rosen, Greg Grunberg, Yani Gellman",United States,10-Aug-17,2017,TV-14,92 min,Action & Adventure
s1821,Movie,Don't Think Twice,Mike Birbiglia,"Keegan-Michael Key, Gillian Jacobs, Mike Birbiglia, Kate Micucci, Chris Gethard, Richard Masur, Tami Sagher, Erin Darke",United States,1-May-17,2016,R,92 min,"Comedies, Dramas, Independent Movies"
s775,Movie,Bbuddah Hoga Terra Baap,Puri Jagannadh,"Amitabh Bachchan, Hema Malini, Raveena Tandon, Sonu Sood, Sonal Chauhan, Charmy Kaur, Prakash Raj, Makrand Deshpande, Subbaraju, Shawar Ali, Rajeev Verma",India,5-Jul-20,2011,TV-14,116 min,"Action & Adventure, Comedies, Dramas"
s4130,Movie,Misfit,Erwin van den Eshof,"Djamila, Niek Roozen, Bente Fokkens, Jolijn Henneman, Fenna Ramos, Jill Schirnhofer, Donny Roelvink, Défano Holwijn, Luca Gilliot",Netherlands,3-Aug-19,2017,TV-14,81 min,"Children & Family Movies, Comedies, International Movies"
s3443,Movie,Koshish,Gulzar,"Sanjeev Kumar, Jaya Bhaduri, Asrani, Seema, Om Shivpuri, Dina Pathak",India,31-Dec-19,1972,TV-14,115 min,"International Movies, Romantic Movies"
s556,Movie,Anwar,Manish Jha,"Siddharth Koirala, Nauheed Cyrusi, Manisha Koirala, Rajpal Yadav, Yashpal Sharma, Vijay Raaz, Hiten Tejwani, Sudhir Pandey, Sanjay Mishra, Lalit Tiwari",India,31-Dec-19,2007,TV-14,134 min,"Dramas, Independent Movies, International Movies"
