#,track_id,Artist.Name,album_name,Track.Name,Popularity,Length.,explicit,Danceability,Energy,key,Loudness..dB..,mode,Speechiness.,Acousticness..,Liveness,Valence.,tempo,time_signature,Genre,0
30903,6BKeNWeUqxmvQ09Gxd3ZGX,Major Lazer;Travis Scott;Camila Cabello;Quavo,Know No Better,Know No Better,59,225849,FALSE,0.738,0.814,7,-4.414,0,0.0999,0.132,0.126,0.483,119.041,4,edm,0.57434124
28243,6SdaB4qWrwFG5goKg3NbVj,BaianaSystem,Forasteiro,Forasteiro,35,210373,FALSE,0.685,0.732,9,-8.589,0,0.0322,0.00506,0.064,0.856,127.999,4,dub,0.891387278
110074,5NPc9zZ5oDt6Sp9rEsQvme,Sajanka;Soumya Sanathanan,Om Bhur,Om Bhur,41,380000,FALSE,0.571,0.839,10,-6.118,0,0.0314,0.029,0.0994,0.292,149.961,4,trance,0.008368382
6758,7LsTx8jZt8KbQ1b6yB1Pq8,LIK,Misanthropic Breed,Becoming,18,334000,FALSE,0.209,0.931,7,-6.005,1,0.0816,1.54E-06,0.389,0.272,115.087,4,black-metal,0.68263175
36791,7taoYAfDTtuI5dxSBeijUO,Indochine,Singles Collection (2001 - 2021),Alice & June - Mix 2020,31,208986,FALSE,0.456,0.888,2,-6.36,0,0.0756,0.00253,0.322,0.315,136.114,4,french,0.039500092
21381,1C15jtL0nGHoJg47V08gNS,Chronic Law,Emotion,Emotion,33,163582,FALSE,0.536,0.735,11,-3.779,1,0.453,0.454,0.167,0.404,94.144,4,dancehall,0.770081816
45773,1keWmyG6qyBbMagPBdgUKr,Little Symphony,Rialto Beach,Ionian,22,93125,FALSE,0,0.0268,7,-30.1,1,0,0.964,0.124,0,0,0,guitar,0.546322751
98276,74kfMAgWlpDgKKyM0Bbt6S,Spotlight Musicals;Sabrina Weckerlin;Christoph Jilo;Dennis Martin,Die Päpstin - Das Musical,Das Bin Ich,27,214204,FALSE,0.426,0.457,10,-7.059,1,0.0353,0.576,0.383,0.206,73.992,4,show-tunes,0.873955957
18335,3vf57GSci6XdBKrTcMRRtm,Mike Birbiglia,My Secret Public Journal,Jack & Irma's Magic Phones,23,146053,FALSE,0.532,0.729,1,-7.451,0,0.953,0.87,0.914,0.445,93.429,1,comedy,0.68207355
20717,0k2GOhqsrxDTAbFFSdNJjT,Sean Paul,The Trinity,Temperature,79,218573,FALSE,0.951,0.6,0,-4.675,0,0.0685,0.106,0.0712,0.822,125.04,4,dance,0.856628463
111558,6riWD7fUly0edv1gUZaguM,Hooverphonic,Hidden Stories,The Wrong Place,42,176506,FALSE,0.551,0.693,5,-4.757,1,0.034,0.0476,0.146,0.193,80.088,4,trip-hop,0.500805108
9348,4GF8TVlUq9ptfdbK3F7kEd,Elis Regina,Chill in Brazil,Beguine dodói,0,134973,FALSE,0.728,0.333,9,-16.162,1,0.0791,0.69,0.0653,0.399,111.673,4,brazil,0.750444767
17387,4oPwiOa5pPq8Raa6phjiEE,SIERRA;Z6b3r,Strange Valley (The Remixes),Hide - Z6B3R Remix,20,174857,FALSE,0.59,0.806,8,-5.732,1,0.038,0.0364,0.111,0.552,100.021,4,club,0.55895943
80538,1XscMS790b4g5GmCnnO8HX,Harris Jayaraj;Aalaap Raju;Devan Ekambaram;Ranina Reddy,Engeyum Kadhal (Original Motion Picture Soundtrack),Engeyum Kaadhal,59,330200,FALSE,0.739,0.343,8,-7.831,1,0.0286,0.306,0.0801,0.29,119.958,4,pop-film,0.830690439
59685,2Qfe7imz8XjzZbHWPTYf3c,Alireza Mashayekhi;National Symphony Orchestra of Ukraine;Vladimir Sirenko,"Symphony, No. 1, Op. 7",Polyphony,0,348917,FALSE,0.239,0.0428,7,-20.367,1,0.0472,0.928,0.061,0.0395,91.778,4,iranian,0.914287404
28050,0auAM0mRTL07NNoeCK96sS,Riot Ten;Sullivan King,Body Bag,Body Bag,44,142666,FALSE,0.473,0.958,11,-3.435,0,0.166,7.43E-05,0.507,0.493,180.008,4,dub,0.274368223
91743,5Pc6HHW8FLEfZqYloxgbuw,George Strait,Christmas Country Songs 2022,Deck The Halls,0,119120,FALSE,0.607,0.522,4,-10.068,1,0.0279,0.235,0.129,0.887,162.081,4,rock,0.073216982
26352,4D07w1m1dMNyHWRSl8a5Lv,Julia Scheeser;Crewkid,Silbertablett,Legendär,23,207680,FALSE,0.867,0.563,0,-7.438,0,0.192,0.383,0.114,0.601,131.965,4,disney,0.050472558
96303,5TB6hQCVrMaK3zPxr2dKkg,Beth Carvalho;Arlindo Cruz;Sombrinha,Zeca Apresenta: O Quintal Do Pagodinho,Canto De Rainha - Ao Vivo,42,192253,FALSE,0.47,0.642,1,-7.295,0,0.0756,0.671,0.925,0.715,165.889,4,samba,0.132442695
90085,1RNJP2UR28cOToXUnWB8N9,The Platters,Xmas Classics 2022,All I Want For Christmas Is My Two Front Teeth,0,131973,FALSE,0.693,0.338,0,-6.372,1,0.0345,0.752,0.355,0.583,79.443,4,rock-n-roll,0.07188897
29411,65Ue0jbK1lhMuWc9XfVanh,ILLENIUM;Said The Sky;Rock Mafia,Fallen Embers,Crazy Times,45,230400,TRUE,0.476,0.507,1,-8.058,1,0.0459,0.405,0.113,0.17,150.204,4,dubstep,0.198384139
71085,2iA4neLS2rg1dlciGgmt4X,Megadeth,Release Your ANGER,Symphony Of Destruction,0,246733,FALSE,0.61,0.889,4,-5.452,0,0.0585,0.000794,0.0657,0.506,139.903,4,metal,0.932884693
44234,2UDumaw7osnyjH7RZ2DLpB,Three Days Grace,Human,I Am Machine,68,200146,FALSE,0.402,0.97,2,-4.538,0,0.0668,1.29E-05,0.189,0.476,75.106,4,grunge,0.553132736
68252,5Mktfl3xR4CNPO0u5QZRal,Jhayco;Bad Bunny,Bájale como 7500,CÓMO SE SIENTE - Remix,0,227520,TRUE,0.807,0.606,3,-8.871,0,0.0872,0.0946,0.119,0.304,92.988,4,latino,0.896214857
73539,1I4NH1UHbQvAdyl6G0WIkx,Steve Bug,The Other Day,Loverboy,20,434800,FALSE,0.826,0.335,2,-12.88,1,0.0746,0.727,0.0736,0.222,123.498,4,minimal-techno,0.736289836
107745,315oShanenvc924dXOi7od,Duran Duran,Seven and the Ragged Tiger (Deluxe Edition),Secret Oktober - 2010 Remaster,25,169520,FALSE,0.303,0.74,0,-8.014,1,0.0402,0.431,0.245,0.671,69.434,4,synth-pop,0.908446204
17471,2KeaniyEzZlYZzR1qodSso,Actress,AZD,FALLING RIZLAS,47,145946,FALSE,0.442,0.101,4,-15.898,0,0.0623,0.941,0.11,0.0655,114.852,4,club,0.0248165
42305,7CRUnWb7E63AIDZEqTDaKA,Fluoride,Disentanglement,Chipped Away,14,74924,FALSE,0.198,0.943,8,-4.578,1,0.109,7.03E-06,0.395,0.151,86.993,4,grindcore,0.115746888
55067,2vR23BjIzpLMtzsyKrM6Mb,Kailash Kher;Paresh Kamath;Naresh Kamath,Kailasa Jhoomo Re,Saiyyan,70,343906,FALSE,0.473,0.562,0,-8.624,1,0.0451,0.65,0.12,0.316,74.653,3,indian,0.862271406
6912,6ceQfFvEr9UjRUCZFTimEJ,Belphegor,Bondage Goat Zombie,Sexdictator Lucifer,42,225493,FALSE,0.556,0.909,7,-1.678,0,0.0772,1.65E-05,0.613,0.297,123.985,4,black-metal,0.652177689
31695,7iDWdPF81DIex21TDzJgHv,Moby;Jim James,LUGNA HITS,Porcelain - Reprise Version,0,353878,FALSE,0.413,0.252,11,-13.031,0,0.0291,0.561,0.113,0.0536,91.925,4,electro,0.887791791
100757,6IyBnwkXG42Q1HDLcUrRyF,Nonpalidece,El Fuego en Nosotros,Tu Recompensa,35,203912,FALSE,0.756,0.442,6,-9.748,0,0.114,0.0819,0.085,0.627,83.029,4,ska,0.064647173
92675,3kt71HMQTfKNcwaZNGh1Ki,Hillbilly Hellcats,Rev it up with Taz,Dead Man's Party,24,151773,FALSE,0.447,0.965,4,-6.894,0,0.0611,0.00201,0.0967,0.916,113.004,4,rockabilly,0.785959424
1061,6SdaB4qWrwFG5goKg3NbVj,BaianaSystem,Forasteiro,Forasteiro,35,210373,FALSE,0.685,0.732,9,-8.589,0,0.0322,0.00506,0.064,0.856,127.999,4,afrobeat,0.221100441
10109,1FNvrp5K02oThumS6gllzp,The Chemical Brothers,Dig Your Own Hole,Block Rockin' Beats,49,313666,FALSE,0.558,0.982,10,-3.125,0,0.063,0.0227,0.117,0.69,109.369,4,breakbeat,0.800900956
2211,2QGuFhaQDrGKqtkOgItDJS,Charlie Brown Jr.,Acústico (Ao Vivo),Zoio De Lula - Ao Vivo,55,224973,FALSE,0.632,0.866,1,-5.445,0,0.0488,0.0556,0.518,0.835,87.785,4,alt-rock,0.081137758
98292,4uVz63luo9MJ4aFSLuW9sz,Amy Spanger;Matthew Saldívar,The Wedding Singer (Original Broadway Cast Recording),Right in Front of Your Eyes,27,204240,FALSE,0.598,0.598,4,-5.196,1,0.0879,0.135,0.121,0.82,145.664,4,show-tunes,0.028795213
105858,4vqrhPRaeoJ8pHL6dKTlfW,luvuto,miletones,miletones,30,147428,FALSE,0.775,0.367,0,-14.823,0,0.12,0.553,0.116,0.291,139.938,4,study,0.157146443
69936,5dgeIhRpXiMw8mGRbPonfP,K. S. Harisankar,Neermathalam Poothakalam (Original Motion Picture Soundtrack),Anivagha Poothoren,18,137933,FALSE,0.411,0.411,4,-9.084,1,0.0326,0.512,0.097,0.191,72.132,4,malay,0.262120937
111682,2yrcn31fTnC83zSlLzpUb5,Everything But The Girl,Eden (Deluxe Edition),Riverbed Dry - 2012 Remaster,19,165000,FALSE,0.613,0.538,7,-8.83,1,0.0268,0.0503,0.096,0.256,95.997,3,trip-hop,0.834152653
39647,60Nq3K9NFRL5AP55uFq9gk,Deine Cousine,Attacke,St. Pauli,42,256137,FALSE,0.405,0.89,5,-2.591,1,0.0467,0.00924,0.195,0.298,172.951,4,german,0.542906638
98070,4JwLDaMaa6NoANUmV0Ju81,Mena Massoud,Aladdin (Original Motion Picture Soundtrack),One Jump Ahead,57,175223,FALSE,0.689,0.725,1,-6.17,1,0.054,0.0885,0.0485,0.539,119.373,4,show-tunes,0.120867138
31661,0WTN7om3lHG3yYMigwzBxl,Lauv;Julia Michaels,There's No Way,There's No Way (feat. Julia Michaels),67,174860,FALSE,0.755,0.625,2,-7.114,1,0.0896,0.49,0.157,0.374,147.02,4,electro,0.638481109
108519,74JePFevZUMKT5ku1NseNt,Adriana Varela,Tangos,Volver,18,219422,FALSE,0.546,0.114,4,-14.482,0,0.0487,0.807,0.153,0.601,100.483,4,tango,0.193954221
105843,0iJ9sX4czYu2aDiWRPsVja,"Sarah, the Illstrumentalist",Celebrate You,Melo Hello,5,136969,FALSE,0.749,0.303,0,-8.137,1,0.0386,0.0897,0.0861,0.283,99.005,4,study,0.199080309
71692,70VfAhsPWCKIXO9yc1rKQN,Almafuerte,Mundo Guanaco,El Pibe Tigre,41,243106,FALSE,0.58,0.852,4,-7.099,0,0.0756,0.000384,0.11,0.576,116.936,4,metal,0.687074455
78268,4gKHMlcnxpNrgyK5uh5nIG,FiNCH,Fliesentisch Romantik 2,Frohe Weihnachten,33,174863,TRUE,0.711,0.793,7,-6.075,1,0.169,0.0179,0.125,0.668,150.02,4,party,0.763349658
64203,6xqWfkMmiqbepWSXMj19K1,Aretha Franklin,Thanksgiving Party,This Girl's in Love with You,0,240773,FALSE,0.579,0.409,0,-10.095,1,0.0268,0.624,0.18,0.526,109.417,3,jazz,0.861637565
14593,5Ly2b2q5tuAf7ANzS7xEF7,Sweet Little Band,Coldplay For Babies,In My Place,32,192490,FALSE,0.517,0.275,9,-15.279,1,0.0301,0.948,0.0845,0.181,143.951,4,children,0.573771574
18853,0Bd1WeTf27JqYQLQJPWKRo,Tom Papa,"Calm, Cool, and Collected",Uncle Tom,20,76493,FALSE,0.479,0.797,5,-9.38,0,0.853,0.801,0.844,0.819,94.891,1,comedy,0.706088911
97971,0pgZs3GDUbmnB1ZrKih5In,Henrique & Juliano,O Céu Explica Tudo (Ao Vivo),Na Boa - Ao Vivo,45,166420,FALSE,0.531,0.853,0,-5.708,1,0.267,0.217,0.261,0.486,99.476,4,sertanejo,0.252321029
15966,2UvMgTm9y3lStOyQE2yxKA,Weston Estate,Cotton Candy,Cotton Candy,54,154074,FALSE,0.606,0.275,10,-10.004,1,0.0288,0.39,0.135,0.19,81.041,4,chill,0.957861506
75737,55w3uYVfgZWZbbyIZJddz7,Jim Brickman,"Soothe, Vol. 5: Lullaby Dreams - Music for a Peaceful Escape",When You Wish Upon A Star,20,158482,FALSE,0.255,0.0928,0,-19.283,1,0.0392,0.976,0.143,0.18,66.85,4,new-age,0.733471779
39533,35e4wuO9wRz1KhgqtKt7bT,SDP,"SDP bei Sing meinen Song, Vol. 9","Amaranth (aus ""Sing meinen Song, Vol. 9"")",43,204733,FALSE,0.744,0.771,7,-8.055,0,0.0719,0.0273,0.108,0.678,127.973,4,german,0.536624975
84142,3XmIlmYem8DGp7aorcpBay,The Monkees,Perfect Christmas Hits,Unwrap You at Christmas,0,212080,FALSE,0.671,0.801,10,-3.366,1,0.0322,0.247,0.328,0.473,127.994,4,psych-rock,0.444720301
57400,10hMM5nsZQf66ldBlgWBfG,Labrinth;Zendaya,All For Us (from the HBO Original Series Euphoria),All For Us - from the HBO Original Series Euphoria,76,192986,FALSE,0.348,0.652,3,-7.145,1,0.0931,0.0165,0.33,0.172,70.956,4,indie,0.908485884
112515,2Uc8q2ANutjQcstQAhgNru,Serhat Durmus;Raaban;Georgia Ku,My Feelings,My Feelings - Raaban Remix,48,206720,FALSE,0.706,0.716,1,-6.983,0,0.269,0.254,0.0799,0.369,120.825,4,turkish,0.554843954
42165,2gr9Q36NGQLdxzCqcDmZLW,Manger Cadavre?,Decomposição,Em Memória,16,152026,FALSE,0.245,0.968,0,-5.706,1,0.12,0.000133,0.367,0.0698,85.568,4,grindcore,0.565650175
106308,4BPm0wylvoPfC7fGO0inhQ,Mike Perry;Hot Shade;René Miller,Lighthouse,Lighthouse,53,167662,FALSE,0.543,0.875,1,-3.033,1,0.032,0.0777,0.061,0.245,154.935,4,swedish,0.132624536
13471,4uPQOi5PQapwSbMs97LcJG,Romanthony;Kevin McKay,"Let Me Show You Love (Classic 12"")",Let Me Show You Love - Kevin McKay's Luv101 Edit,7,487933,FALSE,0.961,0.235,0,-11.005,1,0.415,0.00174,0.0758,0.539,121.058,4,chicago-house,0.798119828
109407,7IgA0pcFcslMMsBZsDnWaX,Tomcraft;MOGUAI;ILIRA,Happiness,Happiness,48,150486,FALSE,0.636,0.841,0,-5.28,0,0.169,0.0983,0.136,0.298,123.913,4,techno,0.261602219
86297,2wZxzBlwt89epiawMTmDfM,The Pogues;Kirsty MacColl,Perfect Christmas Hits,Fairytale of New York (Edit) - Radio Edit,0,275896,FALSE,0.38,0.346,2,-14.313,1,0.0417,0.648,0.0511,0.358,117.916,3,punk,0.300259842
50078,52sQMxvfgMCkmwJrQKNWNt,Ricardo Iorio,Atesorando los cielos,Quiero Ser Como Usted,33,254480,FALSE,0.427,0.788,4,-3.486,1,0.0303,0.00655,0.0666,0.489,80.025,4,heavy-metal,0.556278709
28334,0fUF5bxAbaEkZeRatGvnG0,Spag Heddy,The Classics,Permanent,46,233800,FALSE,0.652,0.957,4,-0.673,0,0.0802,0.00359,0.318,0.343,173.977,4,dub,0.336789943
65301,6wBpO4Xc4YgShnENGSFA1M,LE SSERAFIM,FEARLESS,Sour Grapes,77,196540,FALSE,0.779,0.801,6,-5.564,0,0.0457,0.395,0.108,0.72,139.998,4,k-pop,0.843674695
43065,04EtBLFIxbcVt9NdYgcrpF,Lamb of God,Sacrament,Redneck,64,220880,TRUE,0.512,0.996,2,-2.1,1,0.114,5.63E-05,0.347,0.0601,130.931,4,groove,0.060540802
112952,6zPM5oAVtNdriFhm7ZS1N4,Barlas & Mert;Emrah Turken,Whiskey & Vodka,Whiskey & Vodka,50,139124,FALSE,0.771,0.714,2,-5.396,1,0.113,0.0254,0.165,0.34,114.025,4,turkish,0.767128543
12048,5zgOS7hQpCbcC2v0qXOL3V,Kay Tse,Best Cantopop Tunes,脆弱,0,269146,FALSE,0.54,0.545,5,-8.674,1,0.0369,0.103,0.328,0.431,144.584,4,cantopop,0.847599968
10325,7uKIejI8EopnavsEw3FcuN,Audio Bullys,Generation,All Sing Along,16,226573,TRUE,0.635,0.957,9,-2.485,1,0.121,0.0364,0.263,0.754,124.012,4,breakbeat,0.26130966
12317,331aol4yMUVA93MsVBZV9R,Justin Lo,側田,命硬,52,217013,FALSE,0.495,0.503,3,-6.838,1,0.032,0.67,0.14,0.333,185.088,3,cantopop,0.961901534
78036,2S2fAt6ykPGEGsxedaePlC,DJ Ötzi,Best Of Karneval,Der hellste Stern (Böhmischer Traum) - Silverjam Mix,0,198613,FALSE,0.575,0.957,5,-2.758,1,0.0826,0.00328,0.158,0.929,126.056,4,party,0.941733545
63469,60tUVMP03Vdo8ObbDFmuEu,Mr.Children,EVERYTHING,CHILDREN'S WORLD,35,307640,FALSE,0.516,0.879,9,-8.289,1,0.0339,0.00789,0.305,0.886,139.907,4,j-rock,0.36701226
45271,2W5EvgsEBmBWqZz4GumrXA,Steve Vai,Alien Love Secrets,Bad Horsie,45,350840,FALSE,0.543,0.771,5,-8.855,1,0.0457,0.000276,0.804,0.638,127.038,4,guitar,0.760028123
22320,2AuCk65ltMN2JlleGQDVqB,Upon A Burning Body,The World Is My Enemy Now,Fountain of Wishes,25,212453,FALSE,0.337,0.994,1,-2.672,0,0.152,0.000117,0.182,0.133,110.542,4,death-metal,0.397619208
39238,2YCAMpAGIYxn1PyNLtb7aY,George Frideric Handel;Posaunenquintett Berlin,Klassische Weihnachtsmusik,"Tochter Zion, freue dich",0,124760,FALSE,0.471,0.0519,9,-16.87,1,0.0408,0.993,0.0863,0.336,72.931,4,german,0.302523011
48345,7a07LwoTEqMdngkepQaAsO,Fiskales Ad-Hok,Traga!,Eugenia,35,191000,FALSE,0.261,0.955,5,-7.461,1,0.0568,0.00112,0.15,0.532,157.168,4,hardcore,0.197598534
91499,6fsHeJsRAscaPO6Wi8zwTX,Lynyrd Skynyrd,Best 70s Rock Tunes,Sweet Home Alabama,0,285373,FALSE,0.614,0.724,7,-7.521,1,0.0247,0.217,0.146,0.902,97.863,4,rock,0.268138662
57966,54zn5NDDEeKOVWov1RtXCK,Deepak Rathore Project,Tara,Tara,41,272281,FALSE,0.647,0.405,4,-11.187,0,0.0514,0.807,0.206,0.288,163.992,4,indie,0.654325393
62221,2vOAHp8PBBFYqvQUWSoITY,Mrs. GREEN APPLE,Attitude,インフェルノ,68,211600,FALSE,0.533,0.918,4,-2.095,1,0.0616,0.00894,0.643,0.662,92.504,4,j-pop,0.925404017
49516,1ac1lmMzORX2H1nEywHxKg,Cryex,Our Kingdom,Our Kingdom,22,216834,FALSE,0.519,0.849,6,-8.866,0,0.0451,0.0132,0.325,0.731,155.039,4,hardstyle,0.485555025
73021,1eV81a6H4xDdpi8r2C4tQT,Boris Brejcha;Laura Korinth,Gravity,Gravity,64,216000,FALSE,0.783,0.616,7,-11.131,1,0.0691,0.00149,0.117,0.0734,125.023,4,minimal-techno,0.19283836
93016,4HKFF8kQupjxkx0SKxcPPZ,Elena Kamburova,Всё будет завтра,Город золотой,11,215080,FALSE,0.332,0.161,4,-18.377,0,0.0446,0.984,0.158,0.262,89.714,4,romance,0.126806385
29889,1RgDgUyz0LmD6hXi5Rwkwa,Virtual Riot,Save Yourself EP,Wallmonger,38,268800,FALSE,0.63,0.955,1,-2.268,1,0.102,0.00144,0.121,0.499,150.083,4,dubstep,0.280404465
53735,68RzzvNAouCnFoLQB2G7NV,Duke Dumont;Jax Jones,Larga Vida al Electro,I Got U,0,285596,FALSE,0.636,0.761,9,-7.752,0,0.035,0.00383,0.0851,0.462,120.842,4,house,0.804954837
33758,4co218tAwJM5xQrczWhkZk,"nothing,nowhere.",Trauma Factory,upside down,55,187273,FALSE,0.7,0.696,1,-6.513,1,0.0328,0.16,0.1,0.336,124.002,4,emo,0.889800598
107916,00X8QXyQ4QAkcpeGzcg5bC,Wang Chung,Orchesography,Space Junk,37,265626,FALSE,0.662,0.645,7,-10.232,1,0.0432,0.0216,0.0771,0.458,95.008,4,synth-pop,0.045794928
43243,0iIgNVXe5v6GkaZWWd3fEt,Purples,calvário,efésios 2,32,271599,FALSE,0.593,0.718,6,-5.628,1,0.0424,0.11,0.122,0.283,112.008,4,groove,0.004044612
102162,51Gk1czQl7NjX0jHwawO1G,Prateek Kuhad,Raat Raazi,Yeh Pal,48,247688,FALSE,0.752,0.204,2,-15.955,1,0.0371,0.834,0.109,0.38,117.997,4,songwriter,0.378847388
74957,3B5AhcFZeryVou3ColJsf9,Djavan,"Djavan ""Ao Vivo""",Esquinas (Ao Vivo),39,268773,FALSE,0.415,0.415,0,-10.38,0,0.0389,0.453,0.862,0.0701,141.108,3,mpb,0.389410009
72307,0b4TKuvZ4eJ8eHgJgXaCnN,Loathe,I Let It in and It Took Everything,Two-Way Mirror,55,300186,FALSE,0.32,0.84,2,-6.703,1,0.0447,7.86E-05,0.135,0.173,160.104,4,metalcore,0.157457365
69613,3o4yiXEHfARkw23KHXH3M8,Thakara,Mojo Sessions Live,Saarae,22,254021,FALSE,0.472,0.389,4,-13.759,0,0.0289,0.00648,0.328,0.0992,100.033,4,malay,0.772153589
71126,0lpdGobBIXUFiPaZpDR1Bj,Skillet,Rock Brandneu,Surviving the Game,0,238870,FALSE,0.535,0.979,8,-3.593,1,0.0597,0.000666,0.084,0.432,103.996,4,metal,0.954255948
105739,2xiEEIe7VqeOlGP6yjwq6K,Nathan Kawanishi,Lush Loops,Kizutsuita,8,104076,FALSE,0.81,0.651,9,-9.005,0,0.0515,0.188,0.106,0.875,129.918,4,study,0.783421484
98254,1uT4Haj9BYmbjxvoF2omRc,Emma Watson,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),Belle (Reprise),52,75825,FALSE,0.395,0.32,0,-7.934,1,0.0317,0.511,0.194,0.228,87.064,4,show-tunes,0.960545464
95413,66FjggbljuRcmIqgzZKaZ7,Yiyo Sarante,Hablame Mi Vida,Hablame Mi Vida,31,157335,FALSE,0.728,0.638,7,-6.91,0,0.0502,0.701,0.279,0.795,112.02,4,salsa,0.586138384
51006,7AsG1F1eMWd17RYan8M3Wm,AP Dhillon;Shinda Kahlon,Two Hearts Never Break The Same,Dil Nu,71,233666,FALSE,0.811,0.655,1,-7.118,0,0.0353,0.0947,0.068,0.925,117.979,4,hip-hop,0.804703778
92117,40L8OVaEpyF7KTRWTNvJGY,The Platters,Classic Christmas Music 2022,"Rudolph, The Red Nosed Reindeer",0,112960,FALSE,0.576,0.682,3,-4.212,1,0.0369,0.726,0.236,0.919,145.274,4,rockabilly,0.569832826
79625,1rpF77jsLBMG2QjCuhe0Sr,Yiruma;Ólafur Arnalds,We Contain Multitudes — piano reworks,We Contain Multitudes — piano reworks,57,264052,FALSE,0.417,0.0287,7,-25.066,1,0.0714,0.994,0.079,0.285,143.262,4,piano,0.294502135
80973,3oIWJujQwLjGBG8kZGnJkg,Sonu Nigam;Shreya Ghoshal;Kunal Ganjawala;Sadhana Sargam;Shankar Mahadevan,Salaam-E-Ishq,Salaam-E-Ishq,57,424573,FALSE,0.765,0.796,8,-7.095,1,0.0537,0.0362,0.249,0.76,103.033,4,pop-film,0.177765305
29081,30MdAjBfVTvBCS3vID38At,Ray Volpe,Laserbeam,Laserbeam,57,221600,FALSE,0.573,0.978,1,-1.009,1,0.0883,0.000685,0.169,0.0816,149.978,4,dubstep,0.959982027
32989,3CTxT6gAAg6SNeanUV5ffF,Lanek;Kinny Zimmer,EXTRAVAGANZA,ZEMSTA DZIKUSA,34,180000,TRUE,0.703,0.846,10,-5.531,0,0.136,0.377,0.281,0.472,100.032,4,electronic,0.318164661
82277,50boDUJ7PKWc0XC85915Od,The Manges,Go Down,Vengeance Is Mine,25,120826,FALSE,0.351,0.9,11,-2.788,1,0.131,0.00732,0.0658,0.899,187.068,4,power-pop,0.60577265
17675,24Svkho3v17WAYaxDZLStN,Haezer,The Wrong Kid Died,Troublemaker,35,214384,FALSE,0.853,0.625,9,-6.449,1,0.156,0.000772,0.373,0.861,129.97,4,club,0.155023499
111636,6yoqKyNAJOjTlFnDM8u6Ka,Boozoo Bajou,Satta,Night over Manaus,49,379360,FALSE,0.839,0.951,5,-9.121,1,0.0486,0.055,0.267,0.933,143.016,4,trip-hop,0.46163188
59431,2z1tniJIRhcJQTUEGO6yQ4,Sabke Morde,PeeranSal,Marha,0,182531,FALSE,0.609,0.867,2,-5.218,1,0.0319,0.479,0.596,0.147,96.017,4,iranian,0.177773223
52735,18gonrXm7KuGN4nx1C4RXg,George Jones;Tammy Wynette,We Go Together,Something To Brag About,11,137786,FALSE,0.703,0.557,2,-12.229,1,0.0482,0.773,0.0562,0.851,116.345,4,honky-tonk,0.770057203
86369,7BNVPZuuCxghmzRPfbtvpk,SUPERIOTS,Kita Bukan Mereka,Kekasih Tolol,43,149000,FALSE,0.523,0.97,2,-3.917,1,0.0447,0.000173,0.28,0.767,143.02,4,punk,0.965141592
88167,1y1eDjSCubcNWNVQE9Tj2w,KAROL G;Mariah Angeliq,Frescura y Perreo,EL MAKINON,1,209160,FALSE,0.689,0.705,0,-3.224,0,0.102,0.256,0.108,0.456,89.109,4,reggae,0.332899979
100237,623qgMcp5J5EJVphRqLjdF,Los Caligaris,Chanchos Amigos,Dolería Menos,41,189226,FALSE,0.579,0.854,0,-4.052,1,0.0348,0.253,0.085,0.682,149.033,4,ska,0.813037494
50289,7GItZOdHLb4280sxp3iIhT,Plan 4,Lleva Tu Mente al Limite,Ojos del Destructor,26,245506,FALSE,0.231,0.988,7,-3.318,1,0.157,0.000114,0.205,0.268,84.475,4,heavy-metal,0.6382656
74255,4oOmRoG2lWjv6COrTT8Z28,ANAVITÓRIA,N,quem vai dizer tchau,45,198220,FALSE,0.646,0.372,5,-9.889,1,0.0272,0.559,0.199,0.35,129.012,4,mpb,0.296092479
7757,45R2F2lLUgTPjReGCmwdNi,Kenny & Amanda Smith Band,Always Never Enough,A Thousand Miles Ago,21,180293,FALSE,0.583,0.749,10,-6.92,1,0.0333,0.358,0.243,0.961,120.187,4,bluegrass,0.013607971
91044,5PQ2KpEc2jkJ1gNCnYVzwN,Queen,80s Bangers Vol. 1,I Want It All - Remastered 2011,5,241253,FALSE,0.402,0.835,11,-5.734,0,0.05,0.0287,0.385,0.43,92.029,4,rock,0.493525941
107178,2AX5E86cn9n2dgioZEjirI,The Stranglers,La Folie,Golden Brown,71,206760,FALSE,0.562,0.383,6,-15.474,1,0.0304,0.143,0.138,0.599,93.764,3,synth-pop,0.01214873
11776,4yYvWFUWMaKMXtoJKJnmZk,Bombay Bicycle Club,A Different Kind Of Fix,Shuffle,61,235293,FALSE,0.627,0.959,7,-4.744,1,0.0298,0.316,0.112,0.397,109.981,4,british,0.359147003
112542,76jqYRytkvCM1ByVYBs3NS,Malt,Kendi Adını Taşıyan İlk Albüm,Gol,39,190821,FALSE,0.519,0.849,5,-5.102,0,0.0362,0.00115,0.0989,0.743,150.077,4,turkish,0.664179959
83905,4KX39APEOO2EgiZFkcJOfR,Martin Garrix;Matisse & Sadko,Together,Together,44,221274,FALSE,0.509,0.729,1,-4.773,1,0.0343,0.0732,0.233,0.196,127.871,4,progressive-house,0.877451728
31594,7rvWVAM7b9yNkQ5twoxvY2,FLETCHER,Herbststimmung,Undrunk,0,183428,TRUE,0.442,0.579,5,-6.484,1,0.145,0.489,0.126,0.546,83.336,4,electro,0.580959895
